127.0.0.1 - - [17/Oct/2025:23:04:28 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:37:41 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:37:48 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:37:54 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=10&Second=20&Operation=Add HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:03 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Add HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:11 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Subtract HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:16 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Multiply HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:20 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Division HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:44 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Add HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:49 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Subtract HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:54 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Multiply HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:38:59 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=100&Second=200&Operation=Division HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:39:15 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=1000&Second=200&Operation=Division HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:42:07 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:42:08 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:42:09 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:42:18 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:42:23 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:43:41 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:43:49 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2291
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:46:03 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:46:15 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:51:21 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:51:30 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:51:38 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?Add=%E2%9E%95+Add HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:52:55 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:53:06 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:53:42 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:53:52 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:54:00 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:54:07 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:54:32 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:54:33 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:54:38 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:06 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:07 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:07 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:07 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:18 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:19 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:55:23 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:57:06 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:57:15 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:58:38 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:58:44 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2073
